OBJECTID,SubmitterOrganization,SubmitterPerson,Collector,InstitutionCode,CollectionCode,BasisOfRecord,CatalogNumber,Source,Genus,SubGenus,Species,ScientificName,IdentifiedBy,IdentificationMethod,VerbatimCollectingDate,TimeCollected,DecimalLatitude,EarliestDateCollected,LatestDateCollected,DecimalLongitude,CoordinateUncertaintyInMeters,Country,StateProvince,County,Locality,VerbatimCoordinates,VerbatimLatitude,VerbatimLongitude,IndividualCount,Sex,LifeStage,Remarks,CollectingMethod,LarvalHabitatType,AssociatedParasite,NumberParasitePositive,IdentificationMethodForParasite,NumberSpecimensParasiteTested,ParasiteTestedBy,EarliestYearCollected,EarliestMonthCollected,x,y
1342336,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Foley, D.; Pecor, D",No data,MMap,MMap,Human Observation,MMap100079,"Kraemer, Moritz U.G. et al. 2015. Scientific Data, 2:150035 DOI: 10.1038/sdata.2015.35. Unpublished: ECDC funded TigerMaps &  VBORNET provided by Schaffner and Hendrickx (2013)",Aedes,Stegomyia,aegypti,Aedes aegypti,No data,No data,2007,No data,43.00154,,,41.023415,7071,Georgia,No data,No data,No data,41.023415; 43.00154,43.00154,41.023415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2007,No data,41.0234150000001,43.00154
1342337,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Foley, D.; Pecor, D",No data,MMap,MMap,Human Observation,MMap100080,"Kraemer, Moritz U.G. et al. 2015. Scientific Data, 2:150035 DOI: 10.1038/sdata.2015.35. Unpublished: ECDC funded TigerMaps &  VBORNET provided by Schaffner and Hendrickx (2013)",Aedes,Stegomyia,aegypti,Aedes aegypti,No data,No data,2007,No data,43.10186,,,40.618588,7071,Georgia,No data,No data,No data,40.618588; 43.10186,43.10186,40.618588,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2007,No data,40.618588,43.10186
1412960,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Foley D.H., Pecor, D.B.",No data,MMap,MMap,Human Observation,MMap169171,"Filatov S. (2017). Little pigeons can carry great messages: potential distribution and ecology of Uranotaenia (Pseudoficalbia) unguiculata Edwards, 1913 (Diptera: Culicidae), a lesser known mosquito species from the Western Palaearctic. Parasites & Vector",Uranotaenia,Pseudoficalbia,unguiculata,Uranotaenia unguiculata,No data,No data, August 1970,No data,43.324353,,,40.229701,,Georgia,No data,No data,"Georgia, Abkhazia, Gagra, August 1970, swept from grass",No data,No data,No data,No data,No data,Adult,swept from grass,"Adult, resting outdoor",No data,No data,No data,No data,No data,No data,1970,8,40.229701,43.3243530000001
1412961,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Foley D.H., Pecor, D.B.",No data,MMap,MMap,Human Observation,MMap169172,"Filatov S. (2017). Little pigeons can carry great messages: potential distribution and ecology of Uranotaenia (Pseudoficalbia) unguiculata Edwards, 1913 (Diptera: Culicidae), a lesser known mosquito species from the Western Palaearctic. Parasites & Vector",Uranotaenia,Pseudoficalbia,unguiculata,Uranotaenia unguiculata,No data,No data,No data,No data,42.859693,,,41.660454,,Georgia,No data,No data,"Georgia, Abkhazia, Tkvarcheli",No data,No data,No data,No data,No data,Adult,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,41.6604540000001,42.859693
1558736,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR08-0528.02,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Culex,Culex,pipiens,Culex (Cux.) pipiens,T. chunashvili,DNA,28-May-19,1153,41.750998,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.008212,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7509980855418, 45.0082116212802",41.75099809,45.00821162,1,Female,Adult,"8;  Dry Ice;  No Light; close to water container; Temperature 18.9*; Humidity 70*; BG Sentinel 2; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0082120000001,41.750998
1558737,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR08-0528.01,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1153,41.750998,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.008212,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7509980855418, 45.0082116212802",41.75099809,45.00821162,4,Female,Adult,"8;  Dry Ice;  No Light; close to water container; Temperature 18.9*; Humidity 70*; BG Sentinel 2; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0082120000001,41.750998
1558738,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR03-0528.01,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes,Dahliana,geniculatus,Aedes (Dah.) geniculatus,T. chunashvili,DNA,28-May-19,1144,41.752853,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.008263,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7528529242526, 45.0082632154226",41.75285292,45.00826322,4,Female,Adult,"3;  Dry Ice;  Incandescent; hanging in thick tree cover; Temperature 18.9*; Humidity 70*; CDC Light Trap; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0082630000001,41.7528530000001
1558739,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR03-0528.03,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Anopheles,Anopheles,plumbeus,Anopheles (Ano.) plumbeus,T. chunashvili,DNA,28-May-19,1144,41.752853,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.008263,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7528529242526, 45.0082632154226",41.75285292,45.00826322,3,Female,Adult,"3;  Dry Ice;  Incandescent; hanging in thick tree cover; Temperature 18.9*; Humidity 70*; CDC Light Trap; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0082630000001,41.7528530000001
1558740,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR03-0528.02,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1144,41.752853,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.008263,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7528529242526, 45.0082632154226",41.75285292,45.00826322,7,Female,Adult,"3;  Dry Ice;  Incandescent; hanging in thick tree cover; Temperature 18.9*; Humidity 70*; CDC Light Trap; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0082630000001,41.7528530000001
1558741,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR05-0528.01,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1100,41.752431,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.008736,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7524309634915, 45.0087356194853",41.75243096,45.00873562,2,Female,Adult,"5;  Dry Ice;  Incandescent; on the fence next to the toilet; Temperature 18.9*; Humidity 70*; CDC Light Trap; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0087360000001,41.7524310000001
1558742,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19NOR01-0528.01,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1041,41.753544,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.007344,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7535435132062, 45.0073438882827",41.75354351,45.00734389,2,Female,Adult,"1;  Dry Ice;  UV Bulb; above the tires at soccer field; Temperature 18.9*; Humidity 70*; CDC UpDraft Trap; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.007344,41.753544
1558743,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,2019NOR09-0528.01,Human observation, ,GEIS P0031_19_GA_06.01 - VBD,Aedes,Dahliana,geniculatus,Aedes (Dah.) geniculatus,T. chunashvili,DNA,28-May-19,1151,41.752172,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,45.0079,31,Georgia,Kvemo Kartli,Gardabani,Norio Training Area,"41.7521723329402, 45.0079001113772",41.75217233,45.00790011,1,Female,Adult,"9;  Dry Ice;  UV Bulb; between smoking tents close to barracks; Temperature 18.9*; Humidity 70*; Fay-Prince Trap - CDC; Urban, Village or Military Base Housing","Adult, with attraction traps", ,0,0, , , ,2019,5,45.0079000000001,41.7521720000001
