OBJECTID,SubmitterOrganization,SubmitterPerson,Collector,InstitutionCode,CollectionCode,CatalogNumber,BasisOfRecord,Source,Family,Genus,ScientificName,Species,IdentifiedBy,IdentificationMethod,VerbatimCollectingDate,TimeCollected,Country,StateProvince,County,Locality,EarliestDateCollected,LatestDateCollected,DecimalLongitude,DecimalLatitude,CoordinateUncertaintyInMeters,VerbatimCoordinates,IndividualCount,Sex,LifeStage,Remarks,HabitatType,CollectingMethod,VerbatimHostName,HostScientificName,HostCommonName,HostIndividualCount,HostCountInfested,AssociatedParasite,NumberSpecimensParasiteTested,IdentificationMethodForParasite,NumberParasitePositive,ParasiteTestedBy,EarliestYearCollected,x,y
174338,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0024,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,9/17/2009,No data,Georgia,No data,No data,No data,9/17/2009 12:00:00 AM,9/17/2009 12:00:00 AM,41.79193,42.0377,2000,41.79193 42.03770,18,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,41.79193,42.0377000000001
174339,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0020,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,9/16/2009,No data,Georgia,No data,No data,No data,9/16/2009 12:00:00 AM,9/16/2009 12:00:00 AM,41.79193,42.0377,2000,41.79193 42.03770,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,41.79193,42.0377000000001
174340,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0007,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma marginatum,marginatum,No data,Morphology,9/16/2009,No data,Georgia,No data,No data,No data,9/16/2009 12:00:00 AM,9/16/2009 12:00:00 AM,41.79193,42.0377,2000,41.79193 42.03770,2,"Male, Female",Nymph,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,41.79193,42.0377000000001
174341,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0003,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus sanguineus,sanguineus,No data,Morphology,9/16/2009,No data,Georgia,No data,No data,No data,9/16/2009 12:00:00 AM,9/16/2009 12:00:00 AM,41.79193,42.0377,2000,41.79193 42.03770,4,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Dog,Canis lupus familiaris_Linnaeus 1758,Domestic Dog,No data,No data,No data,No data,No data,No data,No data,2009,41.79193,42.0377000000001
174342,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0025,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus sanguineus,sanguineus,No data,Morphology,9/17/2009,No data,Georgia,No data,No data,No data,9/17/2009 12:00:00 AM,9/17/2009 12:00:00 AM,41.79193,42.0377,2000,41.79193 42.03770,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,41.79193,42.0377000000001
174343,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0201,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,9/24/2009,No data,Georgia,No data,No data,No data,9/24/2009 12:00:00 AM,9/24/2009 12:00:00 AM,42.6793,42.16806,2000,42.67930 42.16806,26,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,42.6793000000001,42.1680600000001
174344,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0222,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,9/24/2009,No data,Georgia,No data,No data,No data,9/24/2009 12:00:00 AM,9/24/2009 12:00:00 AM,42.6793,42.16806,2000,42.67930 42.16806,293,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,42.6793000000001,42.1680600000001
174345,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0132,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,9/22/2009,No data,Georgia,No data,No data,No data,9/22/2009 12:00:00 AM,9/22/2009 12:00:00 AM,42.56357,42.26169,2000,42.56357 42.26169,31,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,42.5635700000001,42.26169
174346,USAMRIID,Lee J.,Lee J.S. et al.,TMap,140909,0134,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,9/22/2009,No data,Georgia,No data,No data,No data,9/22/2009 12:00:00 AM,9/22/2009 12:00:00 AM,42.56357,42.26169,2000,42.56357 42.26169,207,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,42.5635700000001,42.26169
174347,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0038,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.25994,41.56542,30,43.25994 41.56542,5,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.2599400000001,41.5654200000001
