Latitude,Longitude,Start_ Date,End_Date,Genus,Species,Vector Count,,,,,
41.826366,44.968397,6/6/2018,6/6/2018,Rhipicephalus,bursa,1,,,,,
41.826366,44.968397,6/6/2018,6/6/2018,Hyalomma,aegyptium,1,,,,,
41.826366,44.968397,6/6/2018,6/6/2018,Hyalomma,aegyptium,1,,,,,
41.826366,44.968397,6/6/2018,6/6/2018,Haemaphysalis,sulcata,1,,,,,
41.54917222,44.9865504,6/8/2018,6/8/2018,Rhipicephalus,pusillus,2,,,,,
41.547141,44.991068,6/21/2018,6/21/2018,Rhipicephalus,spp.,1,,,,,
41.54917222,44.9865504,6/21/2018,6/21/2018,Rhipicephalus,pusillus,1,,,,,
41.547141,44.991068,6/28/2018,6/28/2018,Rhipicephalus,spp.,1,,,,,
41.750761,45.008398,8/8/2018,8/8/2018,Haemaphysalis,sulcata,1,,,,,
41.750761,45.008398,8/8/2018,8/8/2018,Haemaphysalis,sulcata,1,,,,,
42.24492199,42.03882298,8/18/2018,8/18/2018,Haemaphysalis,punctata,21,,,,,
41.910342,45.976797,8/29/2018,8/29/2018,Haemaphysalis,spp.,1,,,,,
41.808622,44.77803,4/16/2019,4/16/2019,Ixodes,ricinus,1,,,,,
41.547787,44.990808,5/3/2019,5/3/2019,Rhipicephalus,turanicus,8,,,,,
41.547787,44.990808,5/3/2019,5/3/2019,Rhipicephalus,turanicus,6,,,,,
41.806106,44.774851,7/30/2019,8/12/2019,Rhipicephalus,turanicus,1,,,,,
41.806106,44.774851,7/30/2019,8/12/2019,Rhipicephalus,turanicus,1,,,,,
41.806106,44.774851,4/23/2020,4/23/2020,Rhipicephalus,sanguineus,1,,,,,
41.806758,44.778306,4/25/2020,4/25/2020,Rhipicephalus,sanguineus,2,,,,,
41.806758,44.778306,4/25/2020,4/25/2020,Rhipicephalus,sanguineus,1,,,,,
41.69113,44.947714,4/18/2019,4/18/2019,No collection (Ticks),No collection (Ticks),0,,,,,
41.649485,43.1121,5/23/2019,5/23/2019,Haemaphysalis,punctata,1,,,,,
41.649485,43.1121,5/23/2019,5/23/2019,Haemaphysalis,punctata,1,,,,,
41.806106,44.774851,7/30/2019,7/30/2019,Rhipicephalus,turanicus,4,,,,,
41.806106,44.774851,7/30/2019,7/30/2019,Rhipicephalus,turanicus,14,,,,,
41.806106,44.774851,7/30/2019,8/3/2019,Rhipicephalus,turanicus,2,,,,,
41.806106,44.774851,7/30/2019,8/3/2019,Rhipicephalus,turanicus,2,,,,,
41.806106,44.774851,7/30/2019,8/3/2019,Rhipicephalus,sanguineus,2,,,,,
41.27104,46.13433,10/21/2013,10/21/2013,Hyalomma,impeltatum,1,,,,,
41.25022,46.00597,10/12/2013,10/12/2013,Hyalomma,impeltatum,2,,,,,
41.57055,43.2231,4/13/2014,4/13/2014,Dermacentor,marginatus,2,,,,,
41.57055,43.2231,4/13/2014,4/13/2014,Haemaphysalis,sulcata,1,,,,,
41.57055,43.2231,4/13/2014,4/13/2014,Haemaphysalis,sulcata,2,,,,,
41.57055,43.2231,4/13/2014,4/13/2014,Hyalomma,marginatum,2,,,,,
41.56898,43.24672,4/25/2014,4/25/2014,Rhipicephalus,annulatus,1,,,,,
41.65982,42.978,9/18/2014,9/18/2014,Dermacentor,marginatus,1,,,,,
41.62289,43.12564,9/23/2014,9/23/2014,Hyalomma,marginatum,2,,,,,
41.66055,42.9789,5/3/2015,5/3/2015,Hyalomma,marginatum,4,,,,,
41.21794,45.5939,4/25/2014,4/25/2014,Ixodes,ricinus,1,,,,,
41.42023,45.98237,4/11/2014,4/11/2014,Dermacentor,marginatus,2,,,,,
41.42023,45.98237,4/11/2014,4/11/2014,Hyalomma,marginatum,3,,,,,
41.42023,45.98237,4/11/2014,4/11/2014,Rhipicephalus,annulatus,3,,,,,
41.28881,46.459,4/13/2014,4/13/2014,Dermacentor,marginatus,1,,,,,
41.28881,46.459,4/13/2014,4/13/2014,Rhipicephalus,annulatus,1,,,,,
